Timestamp,PM2.5 (µg/m³),SO2 (µg/m³),AT (°C),RH (%),pm25_lag_48h,so2_lag_48h,pm25_rolling_24h,bed_demand_target,month,day_of_week,season
2023-01-01 16:00:00,94.75,14.25,19.05,57.625,159.0,17.625,123.04166666666667,2.3044161621303094,1,6,1
2023-01-01 16:00:00,90.75,5.05,21.275,57.900000000000006,181.5,1.775,120.05208333333333,3.782520250862227,1,6,1
2023-01-01 16:00:00,82.5,1.925,17.3,52.675,157.75,1.5916666666666666,117.52083333333333,1.881780728120669,1,6,1
2023-01-01 17:00:00,113.0,12.375,18.325,60.825,154.5,1.4083333333333334,115.55208333333333,3.3035920461132813,1,6,1
2023-01-01 17:00:00,97.5,4.9,20.2,60.575,167.5,1.225,113.44791666666667,0.40411150781917227,1,6,1
2023-01-01 17:00:00,83.75,1.475,15.625,61.55,140.5,13.925,110.94791666666667,4.3359778844889085,1,6,1
2023-01-01 18:00:00,180.75,10.225,16.725,72.4,158.0,13.162500000000001,111.92708333333333,2.4422402872934335,1,6,1
2023-01-01 18:00:00,102.0,4.475,18.15,68.275,124.0,12.4,110.125,1.7064996384099955,1,6,1
2023-01-01 18:00:00,134.5,1.35,13.675,74.95,148.0,3.7,110.55208333333333,3.030222064285027,1,6,1
2023-01-01 19:00:00,233.5,1.6,13.1,81.15,159.5,1.025,114.59375,2.283904082610299,1,6,1
2023-01-01 19:00:00,154.25,4.875,17.375,74.6,152.75,4.125,116.0,1.9583654990490549,1,6,1
2023-01-01 19:00:00,312.0,9.825,16.225,78.725,133.5,11.733333333333334,122.23958333333333,0.2785089234985598,1,6,1
2023-01-01 20:00:00,354.0,9.65,15.85,82.45,133.25,10.275,132.71875,1.0583816927151903,1,6,1
2023-01-01 20:00:00,264.75,5.433333333333334,16.775000000000002,79.5,158.0,1.5,137.3125,1.4631637502222568,1,6,1
2023-01-01 20:00:00,313.0,1.9,12.6,84.2,164.75,4.8,144.66666666666666,2.5876807576493204,1,6,1
2023-01-01 21:00:00,347.0,2.05,12.275,85.85,131.0,10.125,154.64583333333334,2.325762623496977,1,6,1
2023-01-01 21:00:00,360.75,5.825,16.275,83.0,160.25,1.75,163.9375,2.1685473707639633,1,6,1
2023-01-01 21:00:00,324.0,10.7,15.525,85.425,178.25,5.2,173.85416666666666,0.6835799265818694,1,6,1
2023-01-01 22:00:00,460.25,5.4,15.75,86.025,142.75,10.25,188.59375,1.9475441162559317,1,6,1
2023-01-01 22:00:00,350.5,11.975,15.275,88.15,138.25,1.925,199.94791666666666,-0.41824878917249375,1,6,1
2023-01-01 22:00:00,417.75,1.825,12.2,88.45,154.75,4.55,213.77083333333334,0.8243357946717136,1,6,1
2023-01-01 23:00:00,395.75,1.9,12.025,89.925,147.5,4.625,226.80208333333334,3.035825700264823,1,6,1
2023-01-01 23:00:00,426.5,5.3,15.925,88.42500000000001,153.75,9.425,240.64583333333334,0.9433876139225779,1,6,1
2023-01-01 23:00:00,353.75,11.25,15.2,89.75,134.5,1.8,251.96875,0.5991738232987918,1,6,1
2023-01-02 00:00:00,279.0,10.3,14.675,91.65,151.25,4.666666666666667,259.6458333333333,0.4073675765080509,1,0,1
2023-01-02 00:00:00,341.5,1.725,12.325,90.125,162.5,9.2,270.09375,3.426678156072937,1,0,1
2023-01-02 00:00:00,400.25,4.375,15.925,89.67500000000001,143.25,1.625,283.3333333333333,0.06903038985482102,1,0,1
2023-01-02 01:00:00,328.75,4.125,15.3,91.575,160.25,10.066666666666668,292.3229166666667,0.40081709609735605,1,0,1
2023-01-02 01:00:00,257.75,10.35,14.725,93.425,148.0,1.625,299.0,0.5921193909052083,1,0,1
2023-01-02 01:00:00,247.5,1.125,12.4,90.125,143.75,4.75,305.8229166666667,-0.21956139353211634,1,0,1
2023-01-02 02:00:00,263.75,10.8,14.85,94.425,157.25,5.175,309.28125,3.1061173433562415,1,0,1
2023-01-02 02:00:00,312.5,3.2,15.425,93.3,145.25,12.2,318.0520833333333,4.994835823592404,1,0,1
2023-01-02 02:00:00,200.75,6.933333333333334,12.45,90.275,124.25,1.7,320.8125,2.5990713241105072,1,0,1
2023-01-02 03:00:00,251.5,10.666666666666666,14.85,95.775,136.5,14.1,321.5625,2.0596049186080543,1,0,1
2023-01-02 03:00:00,189.25,0.95,12.4,90.3,120.5,1.775,323.0208333333333,0.6320487104506466,1,0,1
2023-01-02 03:00:00,315.25,3.625,15.6,93.825,162.25,5.25,323.15625,1.9614785124664378,1,0,1
2023-01-02 04:00:00,291.0,3.6,15.5,93.55,102.5,2.1,320.53125,1.1950104734051945,1,0,1
2023-01-02 04:00:00,225.0,10.825,14.725,96.9,154.5,5.55,318.875,3.0629885613702106,1,0,1
2023-01-02 04:00:00,178.25,1.2999999999999998,12.325,90.3,136.5,16.05,313.2604166666667,3.190466504772258,1,0,1
